path	bytes	lines	mime	sha1
./.git/objects/10/d78c52b68c38c19811342ccdb2fa1667f5f195	     192	       1	application/zlib	63d704cb878344647ba99daa967009a8dee44f65
./.git/objects/11/115ed84eb075b5cb091cbdf358b6db36d4f6bd	     161	       3	application/zlib	ca3a5ca4f951cedc450d9a6c2c0b8ae6f46ae464
./.git/objects/11/58c6d5cb01678621f1994ae638fda9361d7813	     713	       3	application/zlib	9f85c96673252bc52bff4467e079e2fa76fe24ef
./.git/objects/11/75184e059a9afcdb9a4cc93ed073398f61e26f	    1405	       7	application/zlib	0050d646fe5717c59a6dd4cc7c714c2e55cbfd05
./.git/objects/11/e4b22d34c5acd4617cadf4641811bddc24985b	     140	       1	application/zlib	76b3e258d17355aa3a03a0e56823d250fcf35b55
./.git/objects/11/f19e7c70ae8be6998fc7718fde77947f8d7dcd	     197	       0	application/zlib	8f3db65342b10ea360f1c9ef94c7b2ed493afdd9
./.git/objects/12/2bf00d1856f4d698518174f7ea4fd6a67b5fd7	     124	       0	application/zlib	ce8af9c181095802f41637d00f861b1d8d15fa6b
./.git/objects/12/3b4b8c53493b9f83ee155c39aa157e880f40e5	      58	       0	application/zlib	20ae0e7f6fdd59276075aa542d4a9d5cfddef7f2
./.git/objects/12/426503b66a20ed67af59762921d1ff28cd50d4	     431	       0	application/zlib	f83835cd19fea26e03bb6b2d0431387b3da7921e
./.git/objects/12/7f4da6c1ec7f5f2c584d790eb7c24a73af69b3	     130	       1	application/zlib	61747529ad5a17baf8a0d93a99e6317e5f58e1d5
./.git/objects/12/832b78f0d3ee86381f3aad61b83f5ac7cf9d7f	     556	       2	application/zlib	c4eaa040103ed82ee7a15441be9563709f08e12e
./.git/objects/12/ab7c4d3d160cabe410c4a1af6a69ccb8b608db	    1565	       8	application/zlib	98998d935772e7b343dc3b3fdefaee3595960cf2
./.git/objects/12/f73953513991ae1e1440007d1cd5fbe41cd197	   15835	      67	application/zlib	4a31852d3f3aa94456ebc7d41f2e92660e0cca6f
./.git/objects/13/18411ffecd98e6edd52ddffd438194662c242c	     112	       0	application/zlib	9c7ecb1173c5d02ccc355b0543465ae2b0fcf46e
./.git/objects/13/577664b0a64aebd097d121170487fcf7a67c80	     973	       3	application/zlib	e53bdec760475f0e3694a067ee76d13cf7794941
./.git/objects/13/7bc2bd3d0692eb8724fdf3d2c1c295b6f3c56d	     517	       2	application/zlib	ecf981a6502d84f1d0ed75d52a07c0e3d0488f6e
./.git/objects/13/9f0449e39a9546e4bb4efaf252cdbc1f2ffc05	     124	       1	application/zlib	ce6ae4767e391c2a8f6d5d20936af179da5ff034
./.git/objects/13/e1d462396c75485efe486099b3840d241bf2d6	     294	       1	application/zlib	c8eb341660981c28ab62436a23378d69a5b0b4b2
./.git/objects/13/ff311c95b3ae09c4e27524c841edcec8dd410c	     109	       0	application/zlib	42ab1a70c4e41f057877e99c459f4804683ba48c
./.git/objects/14/173e22d7f93b38bc0cec52f4549fef6be6a604	    1271	       6	application/zlib	9941b46ae8ae0ff8c8b779684a349d768266d352
./.git/objects/14/5a63ae4a9d1634c44724c5cf3edcf9546acce6	     192	       0	application/zlib	bb78337df97427ee6577c6103e81cafd347576a6
./.git/objects/14/6f696300792d69b11522b237a851b19a58787e	   10844	      46	application/zlib	24ea073bbdb505aaeeddac8246f1ceec69c07565
./.git/objects/14/e94134601b3d9036bd978a512d9b844ced6ccc	     179	       1	application/zlib	d01757fe6533ec294f37e9c2286307a1c5002fa8
./.git/objects/14/e94384132deb261b0e9923f3296db68c653220	   50942	     216	application/zlib	30494d058bdb88762c7e7b841ba241bcad75fcea
./.git/objects/14/e9af7c3124639a58ed68638af9d17951fad21b	     112	       1	application/zlib	360d864b2a2fdfe441478e4a83d68d3137237784
./.git/objects/14/f3b209321998caa9ea05cb52cd63cbfa16bc14	     862	       5	application/zlib	5ba5d3d0004c7ecb6d883b27d461a5dbfe926680
./.git/objects/15/0a397570478459aca8e4434ce02ef151fa7306	    2116	       7	application/zlib	d65fc3f2150913c651ed48958c56b72ba20f7350
./.git/objects/15/1f62a50f5286fddf722dc79059774ec6be1cf4	     316	       2	application/zlib	6ccf54747bad94f192ab47aeafe371df5b9f7c7f
./.git/objects/15/4b4558ea30e0471e26f5965d75705c40883f75	    1101	       5	application/zlib	d5ed2568ff76166ff8e4d02990212e253f63e106
./.git/objects/15/6196c6a81f689a769f0462fc6887f31a088ef7	     755	       3	application/zlib	b031cbfdbb262b3977ac0447b99d4903ba5b2aee
./.git/objects/15/fd8887965cc1af2efc82649609324ee43bdcd5	     857	       3	application/zlib	94189394789eef7337df1a86769ce67e12f498ce
./.git/objects/16/1399ce5646cacd29c069da9fc893b648eda430	    1017	       2	application/zlib	1b502a8f5336ba38918c9012d1da3b80a8a0a2c2
./.git/objects/16/55302077f63eb7df2a2a48db1ca1492909ff06	     103	       0	application/zlib	598cf7ed2b2f1ab3a3baa8e0131ff70291c5f42d
./.git/objects/16/7de6b86bdc0c02fcc7a5f83c3fc60c5b8e0e1b	    2708	       7	application/zlib	9cf2d838f1f1e78a0fe9524f81cd996d8e4c21f4
./.git/objects/16/84881943e8ecb0a262d30ad0948cd38f661017	     112	       0	application/zlib	62585c1ed228304d0902f870766b3ebbbbdb6fd1
./.git/objects/17/163ae7c0d5838e8622d2dbb31af2d69be53c48	    2642	       8	application/zlib	03d4ef6d51fcb88183b502b14e24a4b1451746af
./.git/objects/17/6328f4d7254f04d6a8dc5ab098dd9f63ebdb2e	    5277	      28	application/zlib	df2af3999a932061edccfa0aaf4d4b8872485583
./.git/objects/17/7d07e4c463dfed8b3d2c46066e377057dae279	     775	       1	application/zlib	d76de157d7691b39a7d5cbf71393466af167b3db
